Прізвище;Ім'я;По-батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Баранець;Нестор;Васильович;Ч;1982-04-18;Стропальник; Васильків;проспект Балтський 7-й, буд. 157 кв. 11, Васильків, 23978;+380 28 988-66-79;pholoborodko@example.net
Гоголь-Яновський;Анжела;Михайлівна;Ж;1998-06-08;Мовознавець; Погребище;вулиця 21-й км Старокиївської дороги, буд. 722, Погребище, 65836;+380 67 216-06-79;orobetsroksolana@example.org
Аверченко;Максим;Вікторович;Ч;1969-08-11;Архітектор; Вилкове;сквер Крушельницької, буд. 030, Вилкове, 11485;774 20 47;ievavashchenko@example.org
Тягнибок;Максим;Васильович;Ч;1989-12-16;Географ; Новий Розділ;проспект Естонська, буд. 6 кв. 5, Новий Розділ, 80586;056 039 61 75;shynkarenkozynovii@example.net
Тимченко;Зиновій;Дмитрович;Ч;1999-05-08;Правник; Самбір;вулиця Березовий, буд. 95, Самбір, 83435;+380 62 571-12-69;rzinkevych@example.org
Козак;Йосип;Юрійович;Ч;1958-05-06;Композитор; Умань;сквер Ткачова, буд. 775, Умань, 93770;354-60-96;valeriishapoval@example.com
Ющенко;Ірина;Василівна;Ж;1949-05-30;Фармацевт; Кременчук;набережна Павлодарська, буд. 619 кв. 971, Кременчук, 29838;+380 08 262 83 55;eshvachka@example.org
Терещук;Наталія;Сергіївна;Ж;1994-07-14;Кінокритик; Яремче;набережна Мала Садова, буд. 28 кв. 01, Яремче, 51620;302-78-20;zvenhrynovych@example.org
Чередник;Хома;Георгійович;Ч;2001-07-03;Лікар; Селидове;провулок Товарний, буд. 746, Селидове, 76381;521-49-93;zhurbaazar@example.com
Бевз;Клавдія;Георгіївна;Ж;1990-05-29;Сценарист; Богуслав;узвіз Скляна, буд. 195 кв. 115, Богуслав, 79065;+380 03 893-19-53;panteleimonkalenychenko@example.com
Ватаманюк;Віолетта;Вікторівна;Ж;2006-11-08;Мистецтвознавець; Новгород-Сіверський;узвіз 10-та Суворовська, буд. 19 кв. 105, Новгород-Сіверський, 81896;753 12 59;parmeniushchenko@example.org
Сомко;Святослава;Федорівна;Ж;1940-09-15;Композитор; Вугледар;провулок Андрійця Олега, буд. 42 кв. 9, Вугледар, 95460;+380 37 335-27-55;alla73@example.org
Чумак;Орхип;Георгійович;Ч;2001-01-03;Швачка; Євпаторія;площа Далекосхідна, буд. 209 кв. 07, Євпаторія, 30525;+380 51 630-20-15;chekaliukborys@example.org
Худобʼяк;Леон;Олександрович;Ч;1982-06-06;Науковець; Васильків;набережна Академіка Ясиновського, буд. 425 кв. 263, Васильків, 62767;+380 01 234-31-62;iustyna30@example.com
Андрусенко;Костянтин;Кузьмич;Ч;1997-11-20;Конструктор; Борзна;провулок Мала Садова, буд. 219, Борзна, 40588;067 311 16 95;ivan03@example.org
Баранець;Віталій;Тимофійович;Ч;1971-01-07;Намотувальник; Лутугине;шосе Академіка Заболотного, буд. 914 кв. 38, Лутугине, 13269;549 20 17;martynaronets@example.org
Талан;Омелян;Андрійович;Ч;1955-01-25;Астроном; Лисичанськ;площа Чернігівська, буд. 347, Лисичанськ, 62270;+380 12 589 05 93;olytvyn@example.com
Носенко;Кирило;Васильович;Ч;1956-05-04;Ді-джей; Біляївка;проспект Українська, буд. 21 кв. 56, Біляївка, 59997;098 007-22-32;demian41@example.net
Радченко;Яків;Дмитрович;Ч;1960-06-09;Медик; Тлумач;провулок Трояндова, буд. 6 кв. 026, Тлумач, 52044;+380 09 841-01-49;wsirchenko@example.net
Макаренко;Олекса;Ярославович;Ч;1973-05-12;Паралегал; Василівка ;провулок Раїси Сергієнко, буд. 2 кв. 31, Василівка , 79912;702-54-64;zdubenko@example.net
Сірченко;Антон;Аркадійович;Ч;1942-12-13;Гірничий інженер; Харцизьк;вулиця Восьмого Березня Лінія 2-га, буд. 24, Харцизьк, 62565;051 526 24 23;nustenko@example.org
Філіпенко;Одарка;Іванівна;Ж;1990-05-04;Журналіст; Переяслав;набережна Десятого квітня, буд. 92, Переяслав, 98841;633 74 00;habrahamovskyi@example.net
Колодуб;Пилип;Аркадійович;Ч;1952-04-01;Хімік; Кіцмань;набережна Шкіперська, буд. 1, Кіцмань, 13077;+380 71 932-75-84;pylyp45@example.org
Якименко;Аркадій;Анатолійович;Ч;1970-07-01;Випробувач; Суми;площа Левітана, буд. 4 кв. 332, Суми, 69773;648-95-38;albina57@example.org
Батюк;Едита;Євгенівна;Ж;1952-08-15;Модельєр; Сніжне;вулиця Крайня, буд. 30, Сніжне, 75869;+380 69 132-81-09;okhrim87@example.org
Щорс;Стефан;Сергійович;Ч;1941-09-17;Психолог; Вишгород;шосе Лермонтовський 2-й, буд. 8 кв. 7, Вишгород, 55795;+380 90 645 79 97;iosyp49@example.com
Хорішко;Гаврило;Вікторович;Ч;1986-07-12;Пілот; Снігурівка;сквер Міцкевича, буд. 76, Снігурівка, 94545;036 068 17 05;heorhii25@example.com
Дубина;Софія;Кузьмівна;Ж;1963-02-27;Електромонтажник; Дебальцеве;сквер Чорноморський 2-й, буд. 3 кв. 663, Дебальцеве, 12027;520 09 28;orestliashko@example.net
Проценко;Максим;Іванович;Ч;2004-03-06;Ді-джей; Волочиськ;узвіз Дорожня, буд. 540 кв. 4, Волочиськ, 31117;+380 65 603-56-10;qivanychuk@example.net
Примаченко;Гліб;Вікторович;Ч;1960-02-02;Акушер; Амвросіївка;сквер Ярморочна площа, буд. 789 кв. 5, Амвросіївка, 24898;689-49-46;thaidabura@example.com
Ісаєнко;Ганна;Юріївна;Ж;2006-12-08;Гірник; Лутугине;набережна Катерининська, буд. 65, Лутугине, 24546;024 358 90 52;drozdenkobohdanna@example.net
Вітер;Венедикт;Георгійович;Ч;1950-02-07;Провізор; Олешки;провулок Асташкіна, буд. 4 кв. 34, Олешки, 05348;034 428-56-18;ievhen46@example.net
Тичина;Світлана;Кузьмівна;Ж;1954-09-27;Льотчик; Сватове;провулок Березова, буд. 846 кв. 095, Сватове, 76149;+380 (63) 841-15-09;irynaieromenko@example.org
Гавриленко;Єлисавета;Юріївна;Ж;1945-10-03;Етнограф; Зборів;парк Кленова, буд. 0, Зборів, 94599;044 592 70 98;bohuslava44@example.org
Авдєєнко;Валентина;Кузьмівна;Ж;2004-09-03;Продюсер; Географія Вільнянська;парк Івасюка Володимира, буд. 06, Географія Вільнянська, 16418;+380 (88) 012-78-20;uarkhymovych@example.org
Конопля;Прохір;Володимирович;Ч;1994-05-20;Клоун; Олешки;провулок Нахімова, буд. 382, Олешки, 50768;419 12 00;svashchuk@example.org
Яремчук;Альберт;Борисович;Ч;1953-02-19;Слідчий; Новодністровськ;узвіз Чумацька, буд. 0 кв. 4, Новодністровськ, 59535;+380 74 974-64-49;akymenkosnizhana@example.org
Андріїшин;Ростислав;Аркадійович;Ч;1952-05-11;Кінокритик; Жашків;провулок Крутоярська, буд. 398, Жашків, 83817;+380 (32) 513-97-93;iaremkivvasyl@example.org
Байдак;Георгій;Андрійович;Ч;1978-08-01;Штукатур; Буча;узвіз Усатівська, буд. 138, Буча, 36710;+380 95 614 82 68;vashchukpriska@example.com
Яремчук;Аліна;Андріївна;Ж;1962-05-16;Продюсер; Ровеньки;проспект Леонова, буд. 549 кв. 31, Ровеньки, 55672;+380 18 687-81-42;drobakhadmytro@example.net
Давиденко;Амалія;Анатоліївна;Ж;1959-07-04;Журналіст; Алупка;шосе Скворцова, буд. 1, Алупка, 17170;+380 29 941 58 98;klavdiia68@example.com
Ісаєнко;Марія;Борисівна;Ж;2008-04-05;Модель; Часів Яр;вулиця Світла, буд. 61, Часів Яр, 16224;+380 (70) 068-37-18;volodymyraiukhymenko@example.com
Затовканюк;Ада;Георгіївна;Ж;1964-01-08;Менеджер; Саки ;вулиця Житкова, буд. 5, Саки , 86386;+380 (35) 667-91-09;havriushenkopavlo@example.net
Чуйко;Ігнат;Вікторович;Ч;1951-07-03;Мінералог; Городня;парк Чорноморський 11-й, буд. 365, Городня, 21620;+380 20 447-24-21;stepan06@example.net
Заєць;Соломон;Володимирович;Ч;1992-03-06;Круп'є; Хоростків;вулиця Гімназична, буд. 1, Хоростків, 61196;006 905 07 62;pavlovalenko@example.net
Чубай;Ліза;Володимирівна;Ж;1943-06-20;Випробувач; Городня;набережна Покровський, буд. 80, Городня, 22265;059 981 09 74;danylo92@example.org
Романець;Єфрем;Сергійович;Ч;1976-07-23;Мовознавець; Красноперекопськ;вулиця Ткачова, буд. 0 кв. 16, Красноперекопськ, 45284;+380 45 911-96-35;atalan@example.org
Вакарчук;Тереза;Володимирівна;Ж;1983-07-02;Фотограф; Острог;шосе Лиманний, буд. 0, Острог, 56324;+380 11 357-46-67;anastasiiadashkevych@example.net
Ващук;Костянтин;Сергійович;Ч;1964-04-05;Режисер; Курахове;шосе Неплія, буд. 682 кв. 0, Курахове, 41910;+380 (72) 886-93-70;levkosirchenko@example.org
Засядько;Надія;Михайлівна;Ж;1961-12-18;Драматург; Сніжне;площа Люстдорфська дорога, буд. 9 кв. 18, Сніжне, 19674;011 334-45-02;stepanzasukha@example.com
Вакуленко;Оксана;Аркадіївна;Ж;1965-03-17;Реабілітолог; Василівка ;узвіз Посівна, буд. 421 кв. 523, Василівка , 67440;+380 27 497 10 26;vasylynaartymyshyn@example.com
Швачко;Маруся;Ярославівна;Ж;1956-07-06;Антрополог; Перещепине;набережна Краснова, буд. 637, Перещепине, 21320;602-56-71;havryshkevychavrelii@example.net
Проценко;Володимира;Іванівна;Ж;1965-05-28;Мінералог; Гола Пристань;проспект Вапняний 1-й, буд. 418 кв. 8, Гола Пристань, 70218;+380 95 239 89 21;sofiiahavryliuk@example.org
Савенко;Ірина;Юріївна;Ж;1951-03-07;Педагог; Залізне;вулиця Косовський, буд. 065 кв. 60, Залізне, 53541;020 605-03-96;kadeniukpavlo@example.net
Дробаха;Орина;Олександрівна;Ж;1980-02-19;Фрілансер; Світлодарськ;вулиця Якутська, буд. 2 кв. 434, Світлодарськ, 98101;000 661-10-45;hchubai@example.com
Олійник;Ярина;Олександрівна;Ж;1979-03-05;Дипломат; Славутич;провулок Олександра Невського 2-й, буд. 48 кв. 958, Славутич, 86017;441 87 88;valeriipiatachenko@example.net
Штепа;Омелян;Євгенович;Ч;1942-12-05;Програміст; Рогатин;шосе Академіка Гаркавого, буд. 869 кв. 99, Рогатин, 69791;+380 90 718-42-02;bashtanstepan@example.net
Артюшенко;Соломія;Аркадіївна;Ж;1973-10-23;Педагог; Чигирин;площа Тінистий, буд. 41, Чигирин, 78481;069 313 56 65;pylypbaranets@example.org
Шиян;Онисим;Олександрович;Ч;1985-05-21;Кінорежисер; Радехів;парк Орловська, буд. 977 кв. 78, Радехів, 96656;506-79-03;tkachalina@example.com
Александренко;Мартин;Андрійович;Ч;1976-03-08;Намотувальник; Вишневе ;сквер Золотий берег, буд. 555, Вишневе , 24180;939 82 66;avhustynbakumenko@example.org
Батуринець;Геннадій;Юрійович;Ч;1992-01-29;Етнограф; Тростянець;парк Волоколамська, буд. 5, Тростянець, 53875;067 630 39 32;symon57@example.net
Деряжний;Єва;Ярославівна;Ж;1983-11-17;Єгер; Могилів-Подільський;узвіз Сінна, буд. 6, Могилів-Подільський, 23168;044 651 00 74;dashenkookseniia@example.net
Романець;Соломія;Іванівна;Ж;1940-03-28;Підприємець; Заводське;провулок Пілотна, буд. 7, Заводське, 97735;+380 95 106-58-77;nievdokymenko@example.net
Батуринець;Устим;Аркадійович;Ч;2004-09-22;Географ; Підгородне;шосе Куликове поле, буд. 725 кв. 9, Підгородне, 49204;+380 (29) 390-38-21;fedirtsymbal@example.net
Опанасенко;Богуслав;Ярославович;Ч;1977-03-11;Круп'є; Гнівань;узвіз Овідіопольська дорога, буд. 7, Гнівань, 76108;332-23-43;xcharnysh@example.com
Ковалюк;Пантелеймон;Георгійович;Ч;1961-09-15;Модель; Городенка;провулок Курортний 6-й, буд. 8 кв. 6, Городенка, 66926;+380 55 072-22-68;oryna10@example.com
Товстоліс;Ганна;Георгіївна;Ж;1984-03-26;Бібліотекар; Хуст;набережна Алмазна, буд. 72 кв. 910, Хуст, 32529;098 956-63-44;leopold06@example.net
Гаврилишин;Мирослав;Борисович;Ч;1999-08-05;Бібліограф; Світлодарськ;площа 6-та Суворовська, буд. 659 кв. 406, Світлодарськ, 60837;312 31 42;ieva72@example.net
Вакарчук;Борис;Федорович;Ч;1990-10-20;Інженер; Копичинці;шосе Василя Кандинського 2-й, буд. 612 кв. 0, Копичинці, 71103;+380 (43) 195-03-22;mariana83@example.com
Удовенко;Анастасія;Сергіївна;Ж;1944-09-02;Ді-джей; Іршава;площа Малиновський, буд. 541, Іршава, 71014;076 344-92-25;fesenkopanas@example.org
Рябовіл;Мартин;Андрійович;Ч;1968-04-12;Історик; Керч;парк Кладовищний, буд. 89 кв. 838, Керч, 86501;+380 99 533-62-08;dmytro30@example.net
Смик;Леонтій;Георгійович;Ч;1975-05-31;Електрослюсар; Вовчанськ;вулиця Іванівська, буд. 62 кв. 0, Вовчанськ, 56845;084 739-34-39;erika68@example.net
Опанасенко;Йосип;Аркадійович;Ч;1946-03-23;Етнограф; Бахмач;провулок Верстатобудівна, буд. 699, Бахмач, 05629;122 09 25;ielysaveta31@example.com
Даниленко;Надія;Вікторівна;Ж;1979-12-03;Правник; Угнів;вулиця Прохоровська, буд. 904, Угнів, 24789;+380 (92) 052-67-04;bfranchuk@example.net
Туркало;Борис;Ярославович;Ч;1996-05-12;Піаніст; Буськ;вулиця Дзвінка, буд. 92, Буськ, 86199;+380 24 733-99-48;odarkaakulenko@example.org
Гуцуляк;Панас;Петрович;Ч;1993-04-06;Футболіст; Середина-Буда;площа Морська, буд. 34, Середина-Буда, 47286;748 14 82;vasyliarosh@example.net
Фурс;Альбіна;Юріївна;Ж;1979-07-16;Драматург; Обухів;площа Середня, буд. 06 кв. 3, Обухів, 52613;+380 27 883 15 90;panteleimon28@example.org
Гузь;Марта;Вікторівна;Ж;1960-04-15;Фармацевт; Бахмут;набережна Вернидуба, буд. 73, Бахмут, 13741;+380 98 503-71-31;feofanpiatachenko@example.net
Атаманчук;Арсен;Сергійович;Ч;1951-06-16;Продюсер; Комарно;парк Семінарська, буд. 228 кв. 052, Комарно, 97163;+380 78 343-80-28;mykyta86@example.com
Петренко;Гліб;Іванович;Ч;2003-01-15;Археолог; Нетішин;набережна Академіка Заболотного, буд. 224, Нетішин, 54007;040 156-41-14;qtverdokhlib@example.com
Бевзенко;Наталія;Ярославівна;Ж;1960-09-27;Сценарист; Рубіжне;площа Нафтовиків, буд. 40 кв. 848, Рубіжне, 83766;+380 (37) 842-13-53;mykhailynazarudnyi@example.org
Кириленко;Данило;Юрійович;Ч;1939-11-19;Продюсер; Угнів;площа Композитора Глинки, буд. 6 кв. 896, Угнів, 61593;+380 54 804-32-48;bohuslavaartym@example.org
Черненко;Людмила;Анатоліївна;Ж;1989-02-28;Головний меркшейдер; Бахчисарай;вулиця Вишневий, буд. 32 кв. 62, Бахчисарай, 59811;080 986 42 25;okhrim78@example.com
Забашта;Богуслава;Анатоліївна;Ж;1962-05-14;Менеджер; Кам'янець-Подільський;узвіз Покровський, буд. 614, Кам'янець-Подільський, 08150;+380 32 422 80 31;bezditkoillia@example.net
Бебешко;Едуард;Юрійович;Ч;1974-01-21;Актор; Скадовськ;провулок Остапа Вишні, буд. 49 кв. 78, Скадовськ, 35339;385 55 51;irvanetsihor@example.net
Василевич;Назар;Михайлович;Ч;1954-11-24;Складальник; Надвірна;вулиця Неплія, буд. 00 кв. 00, Надвірна, 11245;+380 51 303-47-34;vladyslavvysochan@example.net
Дубина;Андрій;Вікторович;Ч;2007-11-24;Електротехнік; Бар;площа Рівності 1-й, буд. 68, Бар, 02857;010 194 90 18;tdutka@example.net
Притула;Богданна;Андріївна;Ж;1939-08-10;Хореограф; Волноваха;шосе Пересипська 3-тя, буд. 42, Волноваха, 20329;549-07-03;hmasokha@example.net
Демʼянчук;Спас;Петрович;Ч;1968-10-24;Ріелтор; Бершадь;шосе Студентський, буд. 49, Бершадь, 83565;042 706 19 66;fastenkovasyl@example.net
Нестеренко;Мирон;Ярославович;Ч;1973-09-23;Кіноактор; Дружківка;узвіз Маршала Говорова, буд. 730, Дружківка, 35394;+380 94 436-54-58;ziakovenko@example.org
Лазаренко;Наталія;Аркадіївна;Ж;1944-09-03;Ветеринар; Тлумач;сквер Місячна, буд. 9, Тлумач, 77294;026 703 85 51;drobiazkoarsen@example.net
Сиротенко;Сніжана;Кузьмівна;Ж;1966-04-11;Головний меркшейдер; Болград;площа Стовпова, буд. 92 кв. 733, Болград, 14264;234 62 05;roksolanaiarosh@example.org
Корж;Вʼячеслав;Ярославович;Ч;1955-05-01;Круп'є; Таврійськ;парк Орликова, буд. 4 кв. 04, Таврійськ, 48776;032 748 99 44;zaikaroksolana@example.net
Стус;Спас;Федорович;Ч;1953-05-17;Штукатур; Чуднів;вулиця Тінистий, буд. 839 кв. 9, Чуднів, 94256;427-86-44;ruslan80@example.org
Овсієнко;Данило;Георгійович;Ч;1999-05-15;Доцент; Монастирище;парк Кришталева, буд. 68 кв. 7, Монастирище, 76952;+380 (22) 483-53-44;jiaremkiv@example.net
Авдєєнко;Геннадій;Олександрович;Ч;1977-10-30;Промисловець; Сімферополь;вулиця Ялинкова, буд. 4, Сімферополь, 42717;+380 00 670 95 32;geretaihnat@example.org
Лукаш;Йосип;Михайлович;Ч;1960-04-09;Піаніст; Новояворівськ;провулок Змієнка Всеволода, буд. 13, Новояворівськ, 18313;+380 30 420-05-00;anita53@example.org
Дзюба;Орися;Георгіївна;Ж;1998-10-19;Антрополог; Деражня;шосе Якутська, буд. 550 кв. 31, Деражня, 02900;033 512 82 47;mpustovit@example.org
Кабалюк;Демид;Вікторович;Ч;1988-01-16;Нотаріус; Немирів;вулиця Романа Кармена, буд. 145, Немирів, 86179;674-40-83;rozaliiatiahnybok@example.org
Ващук;Віолетта;Михайлівна;Ж;1953-08-24;Антрополог; Роздільна;набережна Магнітогорський 3-й, буд. 7, Роздільна, 51645;+380 43 772-54-07;albinazaporozhets@example.com
Хоменко;Юхим;Георгійович;Ч;1989-01-25;Піаніст; Пологи ;вулиця Агрономічний, буд. 188, Пологи , 29105;088 303-93-26;klyment91@example.com
Гайворонський;Спас;Іванович;Ч;1983-03-02;Намотувальник; Тетіїв;площа 8-ма Суворовська, буд. 68, Тетіїв, 31386;059 206-15-40;illiakovpak@example.org
Михайличенко;Василина;Андріївна;Ж;1977-03-09;Композитор; Каховка;площа Перша, буд. 3, Каховка, 59544;018 869-34-52;azar64@example.net
Товстоліс;Володимир;Аркадійович;Ч;1945-09-24;Музикознавець; Яремче;парк Східний 2-й, буд. 032 кв. 34, Яремче, 64169;+380 00 624-86-58;dhuz@example.net
Михайлюк;Богуслав;Євгенович;Ч;1944-04-18;Сантехнік; Луцьк;площа Стовпова, буд. 75 кв. 249, Луцьк, 31305;+380 (84) 181-05-77;petrohaivoronskyi@example.net
Шведченко;Венедикт;Тимофійович;Ч;1982-04-12;М'ясник; Новгород-Сіверський;парк 1-ша Лінія 4-ї ст. Люстдорфської дороги, буд. 9, Новгород-Сіверський, 12292;+380 (54) 506-78-39;bohdan31@example.org
Тягнибок;Оксенія;Георгіївна;Ж;1972-07-16;Швачка; Балта;провулок Отрадна, буд. 8, Балта, 53920;403 05 20;rchupryna@example.org
Шаповал;Ростислав;Васильович;Ч;2007-09-19;Науковець; Южне;сквер Урожайна, буд. 66 кв. 084, Южне, 86742;+380 26 197-33-80;iakiv40@example.com
Гаврилишин;Оксенія;Володимирівна;Ж;2006-08-14;Математик; Алмазна;площа Ф. Пішеніна, буд. 766 кв. 5, Алмазна, 53189;563-74-38;hordiiandriichuk@example.org
Свистун;Дарина;Володимирівна;Ж;2003-04-10;Фольклорист; Гайсин;вулиця Житомирська, буд. 67 кв. 5, Гайсин, 85273;771 81 06;leopold26@example.net
Власюк;Аврелій;Аркадійович;Ч;1955-12-26;Конструктор; Мостиська;шосе Бригадна, буд. 03 кв. 483, Мостиська, 32532;+380 60 359-80-46;masokhadanylo@example.org
Сімашкевич;Орест;Тимофійович;Ч;1974-05-10;Водій; Решетилівка;шосе Листяний, буд. 915 кв. 7, Решетилівка, 90007;118 85 65;parasiuksemen@example.org
Рак;Азар;Сергійович;Ч;1992-02-11;Кінорежисер; Татарбунари;провулок Черкаська, буд. 828 кв. 930, Татарбунари, 70238;956-14-98;viktorkorzh@example.net
Копитко;Людмила;Василівна;Ж;1962-12-20;Єгер; Дубляни;набережна Софіївська, буд. 2 кв. 1, Дубляни, 95466;+380 (49) 180-35-52;masokhaleonid@example.org
Пелех;Віолетта;Євгенівна;Ж;1969-07-10;Астроном; Хирів;узвіз Новоукраїнський, буд. 774 кв. 121, Хирів, 98614;038 837 57 05;riabchenkoklavdiia@example.net
Ейбоженко;Людмила;Юріївна;Ж;2002-07-25;Детектив; Кам'янець-Подільський;провулок Шахтинський, буд. 7 кв. 604, Кам'янець-Подільський, 53148;257 77 83;ovcharenkoartem@example.net
Андріїшин;Соломон;Юрійович;Ч;1977-12-03;Сценарист; Дружба ;проспект Дюківський сад, буд. 02, Дружба , 59468;034 123 15 13;sofiiashovkoplias@example.net
Сагаль;Леопольд;Володимирович;Ч;1971-05-26;Локсмайстер; Угнів;парк Скидановська, буд. 7, Угнів, 69738;+380 55 708-32-95;tsymbalerika@example.com
Корпанюк;Світлана;Сергіївна;Ж;1994-04-28;Кухар; Полонне;площа Лінія 35-та, буд. 80 кв. 1, Полонне, 46725;012 946 29 68;tsymonenko@example.com
Василечко;Олекса;Федорович;Ч;1946-01-19;Електротехнік; Зіньків;шосе 15-та ст. Великого Фонтану пляж, буд. 1 кв. 78, Зіньків, 08093;+380 49 361-00-28;orkhyp23@example.com
Скирда;Софія;Кузьмівна;Ж;1940-05-05;Актор; Жданівка;площа Іванівська, буд. 8 кв. 0, Жданівка, 64472;741-79-82;babaktymofii@example.org
Абраменко;Остап;Георгійович;Ч;1980-08-20;Програміст; Рудки;проспект Думська, буд. 082 кв. 676, Рудки, 34025;+380 (52) 926-80-38;martalukash@example.org
Таран;Антон;Олександрович;Ч;1982-04-26;Геолог; Вознесенівка;набережна Басейний 6-й, буд. 75, Вознесенівка, 75805;+380 74 970-33-63;dmytro05@example.net
Романець;Аніта;Олександрівна;Ж;1941-07-29;Мірошник; Докучаєвськ;проспект Новомосковська дорога, буд. 93 кв. 31, Докучаєвськ, 55257;+380 02 092-35-68;larysa76@example.com
Мірошниченко;Анастасія;Тимофіївна;Ж;1945-08-21;Провізор; Павлоград;парк Артезіанська, буд. 4 кв. 41, Павлоград, 79300;+380 57 498 12 05;oleksandr05@example.net
Стус;Юстина;Сергіївна;Ж;1988-08-04;Ріелтор; Новий Калинів;набережна Кренкеля, буд. 456 кв. 312, Новий Калинів, 24343;206-23-58;ssych@example.net
Удовиченко;Роксолана;Вікторівна;Ж;1968-04-30;Музичний редактор; Острог;сквер Балтський 2-й, буд. 300, Острог, 21858;178-17-86;frants49@example.net
Шеремет;Августин;Сергійович;Ч;1947-09-19;Різноробочий; Вишневе ;площа Ползунова 2-й, буд. 56 кв. 07, Вишневе , 63655;018 87 11;ntymchenko@example.com
Швачко;Хома;Аркадійович;Ч;1951-09-30;Швачка; Самбір;сквер Ключовий 1-й, буд. 6, Самбір, 24535;+380 07 372 79 31;gsych@example.net
Тимчук;Лесь;Аркадійович;Ч;1958-10-19;Реабілітолог; Кобеляки;парк Соляна, буд. 008, Кобеляки, 98228;+380 81 386-44-13;mariana59@example.net
Журавель;Степан;Федорович;Ч;1940-02-04;Агроном; Березівка;шосе Дубовий гай, буд. 46, Березівка, 26655;789-08-64;rozaliia99@example.org
Ільєнко;Максим;Федорович;Ч;2005-03-27;Кухар; Сніжне;парк Людмили Гінзбург, буд. 256 кв. 7, Сніжне, 12334;001 184 55 45;nturkalo@example.org
Ященко;Роман;Олександрович;Ч;1999-08-05;Геолог; Кілія;вулиця Лінія 31-ша, буд. 8 кв. 57, Кілія, 15148;085 394 03 75;trokhym99@example.net
Давимука;Єфрем;Вікторович;Ч;1964-10-22;Дерун; Слов'янськ;вулиця Восьмого березня 1-й, буд. 076, Слов'янськ, 34064;+380 76 590-98-95;barannykhryhorii@example.org
Лубенець;Прохір;Тимофійович;Ч;1971-12-06;Водій; Нетішин;проспект Водопровідна, буд. 155 кв. 06, Нетішин, 93508;350 52 73;banduraiaryna@example.org
Засуха;Сергій;Тимофійович;Ч;1961-01-18;Астронавт; Володимир-Волинський;набережна Берегова, буд. 72, Володимир-Волинський, 65971;+380 55 714-84-52;xtsybulenko@example.org
Євтушенко;Валерій;Федорович;Ч;1987-04-28;Педагог; Молочанськ;сквер Пересипська 1-ша, буд. 868, Молочанськ, 50405;+380 60 012-29-37;snizhanaustenko@example.net
Фаренюк;Максим;Петрович;Ч;1982-05-25;Літературознавець; Південне ;парк Сєрогодського, буд. 263 кв. 441, Південне , 57381;177-89-93;bazylevychiustyna@example.org
Притула;Розалія;Вікторівна;Ж;2002-02-15;Астрофізик; Алушта;вулиця Володимира Вінниченка, буд. 3 кв. 214, Алушта, 80031;+380 46 177-60-19;fshovkoplias@example.com
Бабʼюк;Ліза;Федорівна;Ж;1974-12-06;Ріелтор; Вишгород;проспект Овідіопольський, буд. 775, Вишгород, 99039;+380 26 089-21-63;czatula@example.net
Рева;Олесь;Михайлович;Ч;1947-01-06;Гінеколог; Зіньків;провулок Радіальний, буд. 229, Зіньків, 64594;+380 60 245-74-69;udemianenko@example.org
Гаврилюк;Микита;Сергійович;Ч;2001-03-15;Золотар; Біляївка;площа Водопровідний 2-й, буд. 270 кв. 9, Біляївка, 23853;+380 (27) 182-51-83;valentyna82@example.net
Джус;Олесь;Тимофійович;Ч;2004-08-26;Державний службовець; Валки ;проспект 13-та Суворовська, буд. 5, Валки , 01730;+380 (75) 889-12-24;havrylokadeniuk@example.org
Засуха;Іван;Володимирович;Ч;1945-12-31;Філолог; Кролевець;парк Шовкуненка, буд. 56 кв. 52, Кролевець, 25475;+380 86 256-00-16;voberemko@example.org
Дейнеко;Надія;Василівна;Ж;1977-08-10;Парфюмер; Бориспіль;шосе Асташкіна, буд. 38 кв. 0, Бориспіль, 17336;344-33-56;ftverdokhlib@example.net
Кибкало;Станіслав;Вікторович;Ч;1983-04-04;Сценарист; Красноперекопськ;шосе Садова, буд. 1, Красноперекопськ, 71531;+380 11 324-99-48;viktoriia24@example.com
Тягнибок;Валентина;Борисівна;Ж;2002-10-12;Правник; Василівка ;набережна 11-та ст. Великого Фонтану пляж, буд. 9, Василівка , 38241;+380 12 998-68-43;chuikolarysa@example.net
Заїка;Єва;Георгіївна;Ж;1951-11-24;Гірник; Бориспіль;парк Левадна, буд. 18, Бориспіль, 18959;549-22-09;perebyinisdan@example.org
Аврамчук;Богдан;Юрійович;Ч;1977-05-05;Композитор; Бурштин ;узвіз Локомотивний 3-й, буд. 379 кв. 358, Бурштин , 95276;354 83 62;qliashko@example.com
Тимчук;Борислав;Федорович;Ч;1980-11-15;Кур'єр; Старобільськ;парк Андрійця Олега, буд. 12 кв. 539, Старобільськ, 60236;+380 62 969-31-11;ielyseitokar@example.net
Короленко;Богуслава;Іванівна;Ж;1975-06-20;Бібліотекар; Макіївка;набережна 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 2, Макіївка, 75840;017 131-82-42;omelianmasokha@example.org
Парасюк;Юстим;Кузьмич;Ч;1959-04-28;Модель; Броди;провулок Нафтовиків, буд. 94, Броди, 68525;+380 68 341-64-29;somkopriska@example.org
Атрощенко;Тереза;Федорівна;Ж;2000-04-23;Гінеколог; Червоносів;провулок Деволанівська, буд. 7, Червоносів, 04079;+380 13 778-76-54;haverchenko@example.net
